customer_state,total_customers,repeat_customers,repeat_rate
AC,77,4,0.0519
AL,400,12,0.03
AM,143,3,0.021
AP,67,1,0.0149
BA,3277,95,0.029
CE,1312,23,0.0175
DF,2073,63,0.0304
ES,1964,58,0.0295
GO,1951,65,0.0333
MA,725,17,0.0234
MG,11254,343,0.0305
MS,693,18,0.026
MT,875,30,0.0343
PA,949,24,0.0253
PB,518,14,0.027
PE,1604,35,0.0218
PI,482,11,0.0228
PR,4881,148,0.0303
RJ,12379,424,0.0343
RN,474,11,0.0232
RO,239,10,0.0418
RR,45,1,0.0222
RS,5276,168,0.0318
SC,3529,96,0.0272
SE,340,9,0.0265
SP,40296,1307,0.0324
TO,273,7,0.0256
